lot_id,line,object,date,started_at,equipment_id,inspected_count,defect_count,operator_shift,LINE_NUM,CELL_ID,START_TIME,END_TIME,PRE_PROCESS_A,PRE_PROCESS_B,AI_JUDGE,AI_ERROR_CODE,AD_SCORE,INSPECTOR_JUDGE,INSPECTOR_ERROR_CODE
LOT-20260801-AAA,line_01,pcb1,2026-08-01,2026-08-01 08:00:00,EQ-01-A,1,0,day,01,L01AAA100001,2026-08-01 08:00:00,2026-08-01 08:01:56,1,0.597,OK,0000,0.9,OK,0000
LOT-20260801-AAA,line_01,pcb1,2026-08-01,2026-08-01 08:00:34,EQ-01-A,1,1,day,01,L01AAA100002,2026-08-01 08:00:34,2026-08-01 08:02:32,1,0.465,RE,ESA7,1.23,NG,ESA7
LOT-20260801-AAA,line_01,pcb1,2026-08-01,2026-08-01 08:00:58,EQ-01-A,1,0,day,01,L01AAA100003,2026-08-01 08:00:58,2026-08-01 08:03:03,2,0.737,OK,0000,0.87,OK,0000
LOT-20260801-AAA,line_01,pcb1,2026-08-01,2026-08-01 08:01:22,EQ-01-A,1,0,day,01,L01AAA100004,2026-08-01 08:01:22,2026-08-01 08:03:18,1,0.43,OK,0000,0.86,OK,0000
LOT-20260801-AAA,line_01,pcb1,2026-08-01,2026-08-01 08:01:44,EQ-01-A,1,0,day,01,L01AAA100005,2026-08-01 08:01:44,2026-08-01 08:03:43,1,0.43,OK,0000,0.82,OK,0000
LOT-20260801-AAA,line_01,pcb1,2026-08-01,2026-08-01 08:02:20,EQ-01-A,1,0,day,01,L01AAA100006,2026-08-01 08:02:20,2026-08-01 08:04:24,2,0.536,OK,0000,0.8,OK,0000
LOT-20260801-AAA,line_01,pcb1,2026-08-01,2026-08-01 08:02:58,EQ-01-A,1,0,day,01,L01AAA100007,2026-08-01 08:02:58,2026-08-01 08:04:55,2,0.241,OK,0000,0.82,OK,0000
LOT-20260801-AAA,line_01,pcb1,2026-08-01,2026-08-01 08:03:36,EQ-01-A,1,0,day,01,L01AAA100008,2026-08-01 08:03:36,2026-08-01 08:05:32,2,0.348,OK,0000,0.85,OK,0000
LOT-20260801-AAA,line_01,pcb1,2026-08-01,2026-08-01 08:04:14,EQ-01-A,1,0,day,01,L01AAA100009,2026-08-01 08:04:14,2026-08-01 08:06:14,1,0.364,OK,0000,0.8,OK,0000
LOT-20260801-AAA,line_01,pcb1,2026-08-01,2026-08-01 08:04:47,EQ-01-A,1,0,day,01,L01AAA100010,2026-08-01 08:04:47,2026-08-01 08:06:49,1,0.72,OK,0000,0.83,OK,0000
